journey,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
ARTS-AS1-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS1-02,0,0,1,1,1,1,1,1,5,6,9,7,6,5,9,10,7,8,2,2,2,2,1,1
ARTS-AS1-03,0,0,0,0,0,0,0,0,1,2,2,4,6,7,4,2,3,2,3,1,1,1,0,0
ARTS-AS1-04,0,1,1,1,1,1,1,1,3,8,12,13,14,13,16,18,14,5,5,3,2,2,3,2
ARTS-AS1-05,0,2,2,3,3,3,3,3,5,8,8,8,10,9,14,10,8,8,8,4,4,3,3,2
ARTS-AS2-02,0,0,0,0,0,0,0,0,1,7,7,7,8,8,6,4,4,1,0,0,0,0,0,0
ARTS-AS2-03,0,0,0,0,0,0,0,0,2,5,8,11,11,7,7,8,11,7,3,1,1,1,1,1
ARTS-AS2-04,1,2,2,2,2,2,2,3,5,10,10,13,13,16,19,23,24,20,14,8,9,4,3,3
ARTS-AS2-05,0,1,2,2,2,2,2,3,9,9,11,11,13,12,12,11,10,11,6,3,4,4,4,3
ARTS-AS2-06,1,1,1,1,1,1,1,1,3,6,7,7,8,7,8,10,12,8,4,1,1,1,1,1
ARTS-AS3-01,0,1,1,1,1,1,1,1,1,3,4,4,5,3,3,3,2,2,3,2,1,1,1,0
ARTS-AS3-02,0,0,0,0,0,0,0,0,2,3,3,5,4,3,4,4,5,4,3,2,0,0,0,0
ARTS-AS3-03,0,0,0,0,0,0,0,0,2,2,0,1,1,1,2,1,1,1,1,0,0,0,0,0
ARTS-AS3-04,0,1,1,1,1,0,0,0,5,8,8,10,6,7,10,11,10,8,6,3,1,1,1,0
ARTS-AS3-05,0,0,0,0,0,0,0,0,1,3,5,7,6,7,6,7,7,7,3,1,1,1,0,0
ARTS-AS3-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS4-01,0,0,0,0,0,0,0,0,2,6,7,5,4,4,4,6,8,5,1,1,1,1,0,0
ARTS-AS4-02,0,0,0,0,1,1,1,2,6,9,12,16,16,16,14,13,10,9,3,1,1,1,1,1
ARTS-AS4-03,1,2,2,2,2,2,2,2,4,7,11,10,9,9,15,15,16,14,10,9,6,5,3,1
ARTS-AS4-04,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,1,1,2,2,1,0,0,0,0
ARTS-AS4-05,0,1,1,1,1,1,1,1,1,2,2,3,4,4,6,6,6,3,3,3,3,2,1,0
ARTS-AS4-06,0,0,0,0,0,0,0,0,0,3,4,5,4,4,4,5,5,4,0,0,1,1,0,0
ARTS-AS4-B1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1
ARTS-AS5-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ARTS-AS5-03,0,1,1,1,1,1,1,1,2,3,4,2,4,5,3,3,2,0,1,1,0,0,0,0
ARTS-AS5-04,0,0,0,0,0,0,0,0,0,1,3,4,4,8,6,5,3,3,2,2,2,2,2,2
ARTS-AS5-05,1,2,2,2,2,2,2,2,4,4,5,8,9,9,8,9,9,8,5,4,3,2,2,1
ARTS-AS5-06,0,0,0,0,0,0,0,0,2,3,3,3,2,2,3,4,4,5,3,0,0,0,0,0
ARTS-AS6-01,0,0,0,0,0,0,0,0,2,3,4,6,5,8,7,7,6,3,1,0,0,0,0,0
ARTS-AS6-02,1,1,0,0,0,0,0,0,0,1,0,1,2,1,2,2,2,3,3,1,1,1,0,0
ARTS-AS6-03,0,0,0,0,0,0,0,1,2,3,5,6,6,4,3,3,4,1,1,0,0,0,0,0
ARTS-AS7-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
ARTS-AS7-02,0,0,0,0,0,0,0,1,8,8,7,7,8,8,10,8,8,8,6,2,1,0,0,0
ARTS-AS7-03,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS7-04,0,1,1,1,1,1,1,1,1,2,2,2,3,4,1,0,0,1,2,1,1,1,1,1
ARTS-AS7-05,1,1,1,1,1,1,1,5,23,33,34,35,38,31,35,35,37,35,23,8,8,4,1,1
ARTS-AS7-06,0,0,0,0,0,0,0,2,20,28,31,30,30,25,25,25,24,20,12,3,1,1,1,0
ARTS-CTN-02,0,0,0,0,0,0,0,0,2,2,2,6,48,54,12,5,4,3,3,0,0,0,0,0
ARTS-LT10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ARTS-LT11,0,0,0,0,0,0,0,0,1,0,1,2,3,3,2,2,1,0,0,0,0,0,0,0
ARTS-LT12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
ARTS-LT15,0,1,1,1,1,1,1,1,0,1,2,3,3,3,3,2,2,3,3,4,4,2,1,1
ARTS-LT8,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0
ARTS-LT9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
